Cancer code,Country code (ISO/UN),Alpha‑3 code,Label,Sex,Type,Total
23,710,ZAF,South Africa,2,1,5976
23,716,ZWE,Zimbabwe,2,1,2318
23,724,ESP,Spain,2,1,802
23,728,SSD,South Sudan,2,1,593
23,729,SDN,Sudan,2,1,738
23,740,SUR,Suriname,2,1,43
23,748,SWZ,Eswatini,2,1,269
23,752,SWE,Sweden,2,1,238
23,756,CHE,Switzerland,2,1,99
23,760,SYR,Syrian Arab Republic,2,1,106
23,762,TJK,Tajikistan,2,1,159
23,764,THA,Thailand,2,1,4576
23,768,TGO,Togo,2,1,334
23,780,TTO,Trinidad and Tobago,2,1,122
23,784,ARE,United Arab Emirates,2,1,69
23,788,TUN,Tunisia,2,1,210
23,792,TUR,Türkiye,2,1,1203
23,795,TKM,Turkmenistan,2,1,279
23,800,UGA,Uganda,2,1,4782
23,804,UKR,Ukraine,2,1,2598
23,807,MKD,North Macedonia,2,1,61
23,818,EGY,Egypt,2,1,820
23,826,GBR,United Kingdom,2,1,1154
23,834,TZA,"Tanzania, United Republic of",2,1,6832
23,840,USA,United States of America,2,1,5932
23,854,BFA,Burkina Faso,2,1,775
23,858,URY,Uruguay,2,1,160
23,860,UZB,Uzbekistan,2,1,1585
23,862,VEN,Venezuela,2,1,2246
23,882,WSM,Samoa,2,1,6
23,887,YEM,Yemen,2,1,153
23,894,ZMB,Zambia,2,1,2285
