Prov_Name,age,sex,total,lower,upper
MANUS,15 to 19,f,3928.06292,2148.49266,6481.95236
MANUS,20 to 24,m,3251.43407,1778.40385,5365.40304
MANUS,20 to 24,f,3109.39366,1700.71345,5131.01292
MANUS,25 to 29,m,3068.07281,1678.11261,5062.8267
MANUS,25 to 29,f,2887.29411,1579.23392,4764.51199
MANUS,30 to 34,m,2528.31926,1382.88909,4172.14422
MANUS,30 to 34,f,2434.05608,1331.33092,4016.59441
MANUS,35 to 39,m,2301.05461,1258.58446,3797.12002
MANUS,35 to 39,f,2152.55782,1177.36268,3552.0758
MANUS,40 to 44,m,1803.91318,986.66806,2976.75459
MANUS,40 to 44,f,1707.06745,933.69734,2816.94314
MANUS,45 to 49,m,1818.11722,994.4371,3000.1936
MANUS,45 to 49,f,1708.35873,934.40361,2819.07396
MANUS,50 to 54,m,1435.8994,785.3793,2369.47108
MANUS,50 to 54,f,1441.0645,788.20441,2377.99436
MANUS,55 to 59,m,1203.46964,658.24956,1985.9236
MANUS,55 to 59,f,1120.82795,613.04787,1849.55117
MANUS,60 to 64,m,905.18478,495.09972,1493.70434
MANUS,60 to 64,f,857.40755,468.9675,1414.86403
MANUS,65 to 69,m,654.67715,358.08211,1080.32539
MANUS,65 to 69,f,648.22077,354.55073,1069.6713
MANUS,70 to 74,m,395.13059,216.12056,652.03071
MANUS,70 to 74,f,408.04335,223.18333,673.3389
MANUS,75 to 79,m,206.60423,113.00422,340.93109
MANUS,75 to 79,f,196.27402,107.35401,323.88454
MANUS,80 +,m,204.02168,111.59166,336.66945
MANUS,80 +,f,215.64317,117.94815,355.84683
MILNE BAY,< 1,m,14280.26369,11199.52271,18660.0215
MILNE BAY,< 1,f,12805.79957,10043.1509,16733.33914
MILNE BAY,1 to 4,m,28481.81932,22337.31739,37217.19518
MILNE BAY,1 to 4,f,25656.20037,20121.28102,33524.9587
MILNE BAY,5 to 9,m,53726.11423,42135.55503,70203.917
MILNE BAY,5 to 9,f,48408.07372,37964.79763,63254.83312
MILNE BAY,10 to 14,m,50095.04957,39287.83513,65459.20457
MILNE BAY,10 to 14,f,44257.53594,34709.67271,57831.32512
MILNE BAY,15 to 19,m,42447.25081,33289.92796,55465.82543
MILNE BAY,15 to 19,f,38456.75273,30160.31671,50251.44132
MILNE BAY,20 to 24,m,37349.59284,29292.00906,48804.71542
MILNE BAY,20 to 24,f,34649.90676,27174.73754,45277.03544
MILNE BAY,25 to 29,m,32519.54224,25503.96546,42493.28798
MILNE BAY,25 to 29,f,31378.27553,24608.90898,41001.99469
MILNE BAY,30 to 34,m,25845.09968,20269.42829,33771.79346
MILNE BAY,30 to 34,f,24546.41688,19250.91576,32074.80454
MILNE BAY,35 to 39,m,23562.56626,18479.31535,30789.20689
MILNE BAY,35 to 39,f,22995.86831,18034.87352,30048.70263
MILNE BAY,40 to 44,m,18247.14936,14310.61555,23843.55126
MILNE BAY,40 to 44,f,15807.19984,12397.04654,20655.26907
MILNE BAY,45 to 49,m,17861.47992,14008.14819,23339.59698
MILNE BAY,45 to 49,f,16552.3027,12981.40525,21628.89503
MILNE BAY,50 to 54,m,14369.46614,11269.48115,18776.58235
MILNE BAY,50 to 54,f,12532.945,9829.16039,16376.80005
MILNE BAY,55 to 59,m,11389.05469,8932.04631,14882.07851
MILNE BAY,55 to 59,f,9856.87133,7730.40728,12879.97442
MILNE BAY,60 to 64,m,8618.53136,6759.21957,11261.8355
MILNE BAY,60 to 64,f,6986.65115,5479.39169,9129.45751
MILNE BAY,65 to 69,m,5674.85033,4450.59115,7415.3273
MILNE BAY,65 to 69,f,5066.17475,3973.2277,6619.97088
MILNE BAY,70 to 74,m,3562.85102,2794.22227,4655.57766
MILNE BAY,70 to 74,f,2948.92824,2312.74362,3853.36472
MILNE BAY,75 to 79,m,2098.88131,1646.08087,2742.60834
MILNE BAY,75 to 79,f,1797.16712,1409.45674,2348.35839
MILNE BAY,80 +,m,1728.95348,1355.95912,2259.22362
MILNE BAY,80 +,f,1634.50382,1281.88548,2135.80625
MOROBE,< 1,m,16854.72178,14115.24843,19303.04393
MOROBE,< 1,f,15556.88679,13028.35637,17816.68502
MOROBE,1 to 4,m,40317.12272,33764.20035,46173.60055
MOROBE,1 to 4,f,37341.66823,31272.3598,42765.93061
MOROBE,5 to 9,m,75587.10935,63301.59823,86566.91644
MOROBE,5 to 9,f,68613.92331,57461.79532,78580.80322
MOROBE,10 to 14,m,70481.43505,59025.77202,80719.5903
MOROBE,10 to 14,f,60751.242,50877.07079,69575.98637
MOROBE,15 to 19,m,70675.61059,59188.38734,80941.97183
MOROBE,15 to 19,f,61476.54473,51484.48682,70406.6468
MOROBE,20 to 24,m,64253.5404,53810.12495,73587.02973
MOROBE,20 to 24,f,57166.13346,47874.66598,65470.10384
MOROBE,25 to 29,m,60611.3214,50759.89211,69415.74086
MOROBE,25 to 29,f,57074.75674,47798.14113,65365.45371
MOROBE,30 to 34,m,46921.94635,39295.51244,53737.84292
MOROBE,30 to 34,f,43279.72735,36245.2796,49566.55405
MOROBE,35 to 39,m,41155.21858,34466.07675,47133.43848
MOROBE,35 to 39,f,38965.0328,32631.87166,44625.10562
MOROBE,40 to 44,m,30963.85864,25931.16414,35461.67841
MOROBE,40 to 44,f,25869.60644,21664.90354,29627.433540000002
MOROBE,45 to 49,m,27505.82085,23035.1767,31501.32497
MOROBE,45 to 49,f,23129.73256,19370.35363,26489.56473
MOROBE,50 to 54,m,19587.45685,16403.81984,22432.73695
MOROBE,50 to 54,f,16048.03667,13439.67745,18379.17948
MOROBE,55 to 59,m,12441.5117,10419.33713,14248.76957
MOROBE,55 to 59,f,10919.51819,9144.72003,12505.69081
MOROBE,60 to 64,m,10835.28027,9074.17368,12409.21647
MOROBE,60 to 64,f,8228.18819,6890.82395,9423.41738
MOROBE,65 to 69,m,7053.14067,5906.76216,8077.68208
MOROBE,65 to 69,f,5643.9403,4726.60543,6463.78083
MOROBE,70 to 74,m,4259.01187,3566.77561,4877.67726
MOROBE,70 to 74,f,2978.31001,2494.23195,3410.94025
MOROBE,75 to 79,m,2190.18579,1834.20509,2508.33286
MOROBE,75 to 79,f,1647.6365,1379.83877,1886.9727
MOROBE,80 +,m,1904.63353,1595.06492,2181.30119
MOROBE,80 +,f,1499.14933,1255.48588,1716.91623
NATIONAL CAPITAL DISTRICT,< 1,m,9665.9587,8119.03932,11543.43341
NATIONAL CAPITAL DISTRICT,< 1,f,9632.16164,8090.65107,11503.07175
NATIONAL CAPITAL DISTRICT,1 to 4,m,16999.92037,14279.28944,20301.9126
NATIONAL CAPITAL DISTRICT,1 to 4,f,14160.96747,11894.67649,16911.53356
NATIONAL CAPITAL DISTRICT,5 to 9,m,28795.09376,24186.78847,34388.13029
NATIONAL CAPITAL DISTRICT,5 to 9,f,26192.72026,22000.89327,31280.28283
NATIONAL CAPITAL DISTRICT,10 to 14,m,24671.85263,20723.42204,29464.00835
NATIONAL CAPITAL DISTRICT,10 to 14,f,22475.04383,18878.18583,26840.50075
NATIONAL CAPITAL DISTRICT,15 to 19,m,26598.28496,22341.55226,31764.6227
NATIONAL CAPITAL DISTRICT,15 to 19,f,26125.12614,21944.11677,31199.55952
NATIONAL CAPITAL DISTRICT,20 to 24,m,29133.06434,24470.67096,34791.74684
NATIONAL CAPITAL DISTRICT,20 to 24,f,25313.99674,21262.79878,30230.8798
NATIONAL CAPITAL DISTRICT,25 to 29,m,30755.32314,25833.30693,36729.10629
NATIONAL CAPITAL DISTRICT,25 to 29,f,27544.60259,23136.42324,32894.74904
NATIONAL CAPITAL DISTRICT,30 to 34,m,24739.44675,20780.19854,29544.73166
NATIONAL CAPITAL DISTRICT,30 to 34,f,21258.34973,17856.20886,25387.48116
NATIONAL CAPITAL DISTRICT,35 to 39,m,19467.10564,16351.63164,23248.31343
NATIONAL CAPITAL DISTRICT,35 to 39,f,19872.67034,16692.29063,23732.6533
NATIONAL CAPITAL DISTRICT,40 to 44,m,14262.35864,11979.84124,17032.61852
NATIONAL CAPITAL DISTRICT,40 to 44,f,12335.92632,10361.71102,14732.00417
NATIONAL CAPITAL DISTRICT,45 to 49,m,14803.11158,12434.05323,17678.40501
NATIONAL CAPITAL DISTRICT,45 to 49,f,13113.25866,11014.64076,15660.32224
NATIONAL CAPITAL DISTRICT,50 to 54,m,9868.74105,8289.36882,11785.60334
NATIONAL CAPITAL DISTRICT,50 to 54,f,8888.62636,7466.10959,10615.11534
NATIONAL CAPITAL DISTRICT,55 to 59,m,8652.04695,7267.39184,10332.58375
NATIONAL CAPITAL DISTRICT,55 to 59,f,6184.86169,5195.04964,7386.18291
NATIONAL CAPITAL DISTRICT,60 to 64,m,5677.90581,4769.2259,6780.75808
NATIONAL CAPITAL DISTRICT,60 to 64,f,5137.15288,4315.01391,6134.9716
NATIONAL CAPITAL DISTRICT,65 to 69,m,3413.5029,2867.21319,4076.52718
NATIONAL CAPITAL DISTRICT,65 to 69,f,2872.74996,2413.0012,3430.7407
NATIONAL CAPITAL DISTRICT,70 to 74,m,2163.01174,1816.84796,2583.14594
NATIONAL CAPITAL DISTRICT,70 to 74,f,1216.6941,1021.97698,1453.01959
NATIONAL CAPITAL DISTRICT,75 to 79,m,642.14411,539.37674,766.87145
NATIONAL CAPITAL DISTRICT,75 to 79,f,337.97058,283.88249,403.61655
NATIONAL CAPITAL DISTRICT,80 +,m,473.15882,397.43549,565.06317
NATIONAL CAPITAL DISTRICT,80 +,f,473.15882,397.43549,565.06317
NEW IRELAND,< 1,m,4293.4662,3420.05652,5358.08814
NEW IRELAND,< 1,f,3960.06101,3154.47516,4942.0107
NEW IRELAND,1 to 4,m,9450.75496,7528.21021,11794.19509
NEW IRELAND,1 to 4,f,8716.33093,6943.18833,10877.66087
NEW IRELAND,5 to 9,m,16856.78015,13427.64521,21036.64254
NEW IRELAND,5 to 9,f,15084.83646,12016.16383,18825.32188
NEW IRELAND,10 to 14,m,15413.57864,12278.03077,19235.58006
NEW IRELAND,10 to 14,f,13839.81286,11024.41244,17271.57816
NEW IRELAND,15 to 19,m,13898.10048,11070.84275,17344.31897
NEW IRELAND,15 to 19,f,12569.14271,10012.23172,15685.82848
NEW IRELAND,20 to 24,m,11164.41103,8893.26128,13932.77494
NEW IRELAND,20 to 24,f,10720.25935,8539.46233,13378.48996
NEW IRELAND,25 to 29,m,10239.96935,8156.87659,12779.10567
NEW IRELAND,25 to 29,f,9949.697,7925.65365,12416.85643
NEW IRELAND,30 to 34,m,7906.13299,6297.80704,9866.5636
NEW IRELAND,30 to 34,f,7664.82223,6105.58556,9565.41664
NEW IRELAND,35 to 39,m,7282.45544,5801.00274,9088.23692
NEW IRELAND,35 to 39,f,6861.61881,5465.77591,8563.04827
NEW IRELAND,40 to 44,m,5772.80604,4598.45775,7204.24992
NEW IRELAND,40 to 44,f,4982.42589,3968.86277,6217.88452
NEW IRELAND,45 to 49,m,5275.02975,4201.94292,6583.04339
NEW IRELAND,45 to 49,f,4718.96584,3758.99777,5889.09606
NEW IRELAND,50 to 54,m,4064.97873,3238.04971,5072.94416
NEW IRELAND,50 to 54,f,3357.367,2674.38577,4189.87071
NEW IRELAND,55 to 59,m,3388.84232,2699.45813,4229.15075
NEW IRELAND,55 to 59,f,2747.67848,2188.72474,3429.00183
NEW IRELAND,60 to 64,m,2951.68515,2351.23082,3683.59467
NEW IRELAND,60 to 64,f,2500.53896,1991.86023,3120.58079
NEW IRELAND,65 to 69,m,2033.07224,1619.48916,2537.19949
NEW IRELAND,65 to 69,f,1537.62746,1224.83154,1918.90259
NEW IRELAND,70 to 74,m,778.72262,620.30892,971.81723
NEW IRELAND,70 to 74,f,613.18578,488.44684,765.23333
NEW IRELAND,75 to 79,m,497.77629,396.51483,621.20653
NEW IRELAND,75 to 79,f,359.05175,286.0107,448.0834
NEW IRELAND,80 +,m,472.12973,376.0855,589.20057
NEW IRELAND,80 +,f,426.66539,339.86986,532.46274
NORTH BOUGAINVILLE,< 1,m,4356.90301,3687.77091,5122.70258
NORTH BOUGAINVILLE,< 1,f,4195.53623,3551.1868,4932.97285
NORTH BOUGAINVILLE,1 to 4,m,9557.52374,8089.68158,11237.42058
NORTH BOUGAINVILLE,1 to 4,f,8998.11891,7616.19001,10579.69086
NORTH BOUGAINVILLE,5 to 9,m,14844.20676,12564.43711,17453.32776
NORTH BOUGAINVILLE,5 to 9,f,13863.71148,11734.52605,16300.49381
NORTH BOUGAINVILLE,10 to 14,m,13528.68331,11450.95143,15906.57876
NORTH BOUGAINVILLE,10 to 14,f,12425.24192,10516.97629,14609.18883
NORTH BOUGAINVILLE,15 to 19,m,11300.28495,9564.78994,13286.50161
NORTH BOUGAINVILLE,15 to 19,f,10561.07142,8939.10465,12417.35877
NORTH BOUGAINVILLE,20 to 24,m,9222.49558,7806.10696,10843.50553
NORTH BOUGAINVILLE,20 to 24,f,9167.16982,7759.27812,10778.45534
NORTH BOUGAINVILLE,25 to 29,m,8575.49164,7258.46972,10082.77968
NORTH BOUGAINVILLE,25 to 29,f,8967.38238,7590.17399,10543.55187
NORTH BOUGAINVILLE,30 to 34,m,7044.81248,5962.8719,8283.05771
NORTH BOUGAINVILLE,30 to 34,f,7430.55593,6289.37296,8736.6021
NORTH BOUGAINVILLE,35 to 39,m,5967.49714,5051.01038,7016.38593
NORTH BOUGAINVILLE,35 to 39,f,6383.97711,5403.52746,7506.06931
NORTH BOUGAINVILLE,40 to 44,m,4456.79673,3772.32297,5240.15431
NORTH BOUGAINVILLE,40 to 44,f,4668.87878,3951.83352,5489.51338
NORTH BOUGAINVILLE,45 to 49,m,3877.41315,3281.92099,4558.93425
NORTH BOUGAINVILLE,45 to 49,f,4135.6,3500.45556,4862.50181
NORTH BOUGAINVILLE,50 to 54,m,3093.63166,2618.51246,3637.38987
NORTH BOUGAINVILLE,50 to 54,f,3093.63166,2618.51246,3637.38987
NORTH BOUGAINVILLE,55 to 59,m,2449.70137,2073.47684,2880.27792
NORTH BOUGAINVILLE,55 to 59,f,2569.57384,2174.93932,3021.22
NORTH BOUGAINVILLE,60 to 64,m,2059.34745,1743.07337,2421.31268
NORTH BOUGAINVILLE,60 to 64,f,1730.46659,1464.70196,2034.62543
NORTH BOUGAINVILLE,65 to 69,m,1169.52493,989.90958,1375.08877
NORTH BOUGAINVILLE,65 to 69,f,1091.14679,923.56873,1282.93433
NORTH BOUGAINVILLE,70 to 74,m,633.1725,535.93002,744.4633
NORTH BOUGAINVILLE,70 to 74,f,580.9204,491.70279,683.02701
NORTH BOUGAINVILLE,75 to 79,m,304.29164,257.5586,357.77605
NORTH BOUGAINVILLE,75 to 79,f,295.07068,249.7538,346.93435
NORTH BOUGAINVILLE,80 +,m,273.55511,231.54258,321.63706
NORTH BOUGAINVILLE,80 +,f,284.31289,240.64819,334.28571
NORTHERN (ORO),< 1,m,4833.42436,3943.97942,5837.68932
NORTHERN (ORO),< 1,f,4401.88894,3591.85499,5316.49162
NORTHERN (ORO),1 to 4,m,10742.84071,8765.94719,12974.93493
NORTHERN (ORO),1 to 4,f,10017.5424,8174.11801,12098.93773
NORTHERN (ORO),5 to 9,m,19649.09402,16033.27512,23731.68543
NORTHERN (ORO),5 to 9,f,18114.23983,14780.86422,21877.92684
NORTHERN (ORO),10 to 14,m,19424.78669,15850.24474,23460.77264
NORTHERN (ORO),10 to 14,f,17004.08936,13875.00322,20537.11481
NORTHERN (ORO),15 to 19,m,18864.58769,15393.13335,22784.17826
NORTHERN (ORO),15 to 19,f,16005.52324,13060.19287,19331.07157
NORTHERN (ORO),20 to 24,m,14110.86644,11514.1901,17042.75237
NORTHERN (ORO),20 to 24,f,12415.46742,10130.77776,14995.09173
NORTHERN (ORO),25 to 29,m,12248.09088,9994.2018,14792.93853
NORTHERN (ORO),25 to 29,f,11601.35707,9466.4797,14011.82957
NORTHERN (ORO),30 to 34,m,9516.55142,7765.3192,11493.85333
NORTHERN (ORO),30 to 34,f,8848.1839,7219.94443,10686.61572
NORTHERN (ORO),35 to 39,m,8500.90606,6936.57252,10267.18221
NORTHERN (ORO),35 to 39,f,7781.30084,6349.38878,9398.06098
NORTHERN (ORO),40 to 44,m,6443.42719,5257.71014,7782.21057
NORTHERN (ORO),40 to 44,f,5384.51444,4393.65811,6503.28217
NORTHERN (ORO),45 to 49,m,5814.91123,4744.85345,7023.10468
NORTHERN (ORO),45 to 49,f,4819.76097,3932.83036,5821.18702
NORTHERN (ORO),50 to 54,m,4171.88854,3404.17918,5038.70287
NORTHERN (ORO),50 to 54,f,3501.24379,2856.94622,4228.71488
NORTHERN (ORO),55 to 59,m,3024.16374,2467.65827,3652.5095
NORTHERN (ORO),55 to 59,f,2621.09373,2138.76104,3165.6916
NORTHERN (ORO),60 to 64,m,2356.93484,1923.21258,2846.64709
NORTHERN (ORO),60 to 64,f,1919.70635,1566.44271,2318.57343
NORTHERN (ORO),65 to 69,m,1785.34968,1456.8103,2156.30079
NORTHERN (ORO),65 to 69,f,1381.14105,1126.98399,1668.10769
NORTHERN (ORO),70 to 74,m,976.93241,797.15768,1179.91459
NORTHERN (ORO),70 to 74,f,725.29831,591.82919,875.9972
NORTHERN (ORO),75 to 79,m,569.30793,464.5441,687.59592
NORTHERN (ORO),75 to 79,f,450.89188,367.91893,544.57597
NORTHERN (ORO),80 +,m,614.85257,501.70763,742.60359
NORTHERN (ORO),80 +,f,551.09008,449.67869,665.59285
SOUTH BOUGAINVILLE,< 1,m,4616.56969,3479.3156,5870.77249
SOUTH BOUGAINVILLE,< 1,f,3870.58659,2917.09932,4922.12504
SOUTH BOUGAINVILLE,1 to 4,m,9192.64315,6928.11089,11690.04697
SOUTH BOUGAINVILLE,1 to 4,f,8220.73374,6195.6234,10454.09487
SOUTH BOUGAINVILLE,5 to 9,m,14689.47289,11070.8417,18680.22344
SOUTH BOUGAINVILLE,5 to 9,f,13048.31007,9833.96589,16593.19906
SOUTH BOUGAINVILLE,10 to 14,m,13717.56348,10338.35421,17444.27134
SOUTH BOUGAINVILLE,10 to 14,f,11797.18985,8891.04887,15002.18177
SOUTH BOUGAINVILLE,15 to 19,m,12144.60483,9152.88102,15443.98044
SOUTH BOUGAINVILLE,15 to 19,f,11125.80506,8385.05422,14148.39907
SOUTH BOUGAINVILLE,20 to 24,m,10026.01283,7556.18679,12749.82169
SOUTH BOUGAINVILLE,20 to 24,f,9280.02974,6993.97051,11801.17424
SOUTH BOUGAINVILLE,25 to 29,m,9836.31999,7413.22322,12508.59419
SOUTH BOUGAINVILLE,25 to 29,f,9998.30489,7535.30447,12714.58621
SOUTH BOUGAINVILLE,30 to 34,m,8374.19312,6311.27932,10649.2452
SOUTH BOUGAINVILLE,30 to 34,f,7984.15053,6017.32052,10153.2381
SOUTH BOUGAINVILLE,35 to 39,m,7638.86692,5757.0947,9714.14986
SOUTH BOUGAINVILLE,35 to 39,f,7312.76574,5511.32587,9299.4554
SOUTH BOUGAINVILLE,40 to 44,m,5264.50929,3967.6406,6694.74055
SOUTH BOUGAINVILLE,40 to 44,f,5055.63402,3810.22004,6429.11927
SOUTH BOUGAINVILLE,45 to 49,m,4770.02907,3594.97152,6065.92282
SOUTH BOUGAINVILLE,45 to 49,f,4729.53284,3564.45121,6014.42481
SOUTH BOUGAINVILLE,50 to 54,m,3642.5289,2745.22177,4632.10996
SOUTH BOUGAINVILLE,50 to 54,f,3597.76991,2711.4888,4575.19112
SOUTH BOUGAINVILLE,55 to 59,m,3015.9031,2272.9601,3835.24611
SOUTH BOUGAINVILLE,55 to 59,f,2704.72157,2038.4356,3439.5246
SOUTH BOUGAINVILLE,60 to 64,m,2310.41622,1741.26413,2938.09666
SOUTH BOUGAINVILLE,60 to 64,f,2152.69408,1622.39555,2737.52549
SOUTH BOUGAINVILLE,65 to 69,m,1658.21386,1249.72647,2108.70775
SOUTH BOUGAINVILLE,65 to 69,f,1526.06828,1150.13387,1940.66163
SOUTH BOUGAINVILLE,70 to 74,m,922.88766,695.54185,1173.61241
SOUTH BOUGAINVILLE,70 to 74,f,869.60315,655.38355,1105.85188
SOUTH BOUGAINVILLE,75 to 79,m,468.90366,353.39309,596.29268
SOUTH BOUGAINVILLE,75 to 79,f,392.17397,295.56513,498.71751
SOUTH BOUGAINVILLE,80 +,m,509.39989,383.9134,647.79069
SOUTH BOUGAINVILLE,80 +,f,428.40744,322.87278,544.79468
SOUTHERN HIGHLANDS,< 1,m,10927.16305,9548.61328,12357.28873
SOUTHERN HIGHLANDS,< 1,f,9993.93948,8733.12339,11301.92669
SOUTHERN HIGHLANDS,1 to 4,m,37670.85661,32918.37413,42601.14447
SOUTHERN HIGHLANDS,1 to 4,f,34941.57992,30533.41771,39514.66539
SOUTHERN HIGHLANDS,5 to 9,m,70237.1412,61376.15918,79429.64052
SOUTHERN HIGHLANDS,5 to 9,f,61639.01456,53862.75558,69706.20793
SOUTHERN HIGHLANDS,10 to 14,m,64682.04745,56521.88532,73147.50699
SOUTHERN HIGHLANDS,10 to 14,f,52342.98149,45739.492080000004,59193.52828
SOUTHERN HIGHLANDS,15 to 19,m,64752.44147,56583.39857,73227.11405
SOUTHERN HIGHLANDS,15 to 19,f,55017.95423,48076.99543,62218.5962
SOUTHERN HIGHLANDS,20 to 24,m,43789.10252,38264.75395,49520.1344
SOUTHERN HIGHLANDS,20 to 24,f,43236.00665,37781.43559,48894.65043
SOUTHERN HIGHLANDS,25 to 29,m,41206.64764,36008.09659,46599.69289
SOUTHERN HIGHLANDS,25 to 29,f,45064.2399,39379.02246,50962.15926
SOUTHERN HIGHLANDS,30 to 34,m,34036.51396,29742.53312,38491.14617
SOUTHERN HIGHLANDS,30 to 34,f,40661.5968,35531.80832,45983.30687
SOUTHERN HIGHLANDS,35 to 39,m,29318.10341,25619.38813,33155.1993
SOUTHERN HIGHLANDS,35 to 39,f,31751.72522,27745.98892,35907.32876
SOUTHERN HIGHLANDS,40 to 44,m,24931.55038,21786.23415,28194.54281
SOUTHERN HIGHLANDS,40 to 44,f,25022.05697,21865.32261,28296.89473
SOUTHERN HIGHLANDS,45 to 49,m,17701.07897,15467.94505,20017.76148
SOUTHERN HIGHLANDS,45 to 49,f,15557.07827,13594.42733,17593.15817
SOUTHERN HIGHLANDS,50 to 54,m,13654.42849,11931.81217,15441.49331
SOUTHERN HIGHLANDS,50 to 54,f,11204.71661,9791.15122,12671.16796
SOUTHERN HIGHLANDS,55 to 59,m,6556.70008,5729.51947,7414.82813
SOUTHERN HIGHLANDS,55 to 59,f,5770.29832,5042.32864,6525.50366
SOUTHERN HIGHLANDS,60 to 64,m,8276.32541,7232.20019,9359.51465
SOUTHERN HIGHLANDS,60 to 64,f,6912.6927,6040.60074,7817.41236
SOUTHERN HIGHLANDS,65 to 69,m,4712.37678,4117.87243,5329.12341
SOUTHERN HIGHLANDS,65 to 69,f,3702.72542,3235.59673,4187.33086
SOUTHERN HIGHLANDS,70 to 74,m,3726.86051,3256.68699,4214.6247
SOUTHERN HIGHLANDS,70 to 74,f,2250.59736,1966.66635,2545.15113
SOUTHERN HIGHLANDS,75 to 79,m,1745.77168,1525.5285,1974.25485
SOUTHERN HIGHLANDS,75 to 79,f,1017.69639,889.30578,1150.8905
SOUTHERN HIGHLANDS,80 +,m,2137.96693,1868.24515,2417.77985
SOUTHERN HIGHLANDS,80 +,f,1156.47317,1010.57475,1307.83012
WEST NEW BRITAIN,< 1,m,6967.20149,6637.09191,7309.6634
WEST NEW BRITAIN,< 1,f,6203.20898,5909.29775,6508.11803
WEST NEW BRITAIN,1 to 4,m,15401.8839,14672.13473,16158.93944
WEST NEW BRITAIN,1 to 4,f,14148.73109,13478.35694,14844.18986
WEST NEW BRITAIN,5 to 9,m,25753.21329,24533.01281,27019.07226
WEST NEW BRITAIN,5 to 9,f,23192.55652,22093.68127,24332.5504
WEST NEW BRITAIN,10 to 14,m,24217.02432,23069.60927,25407.37432
WEST NEW BRITAIN,10 to 14,f,21098.49919,20098.84146,22135.56296
WEST NEW BRITAIN,15 to 19,m,23243.83118,22142.52652,24386.34539
WEST NEW BRITAIN,15 to 19,f,20852.3808,19864.38428,21877.347
WEST NEW BRITAIN,20 to 24,m,18477.33831,17601.87253,19385.56301
WEST NEW BRITAIN,20 to 24,f,16515.56963,15733.05345,17327.36665
WEST NEW BRITAIN,25 to 29,m,16432.50467,15653.92416,17240.21876
WEST NEW BRITAIN,25 to 29,f,15720.812320000001,14975.95215,16493.54429
WEST NEW BRITAIN,30 to 34,m,13100.67693,12479.96013,13744.62024
WEST NEW BRITAIN,30 to 34,f,12413.59642,11825.43384,13023.76736
WEST NEW BRITAIN,35 to 39,m,11450.65821,10908.12014,12013.49742
WEST NEW BRITAIN,35 to 39,f,10976.8803,10456.79007,11516.43171
WEST NEW BRITAIN,40 to 44,m,8805.91098,8388.6824,9238.75178
WEST NEW BRITAIN,40 to 44,f,7350.73599,7002.45434,7712.04993
WEST NEW BRITAIN,45 to 49,m,7323.04767,6976.07791,7683.00064
WEST NEW BRITAIN,45 to 49,f,6290.37591,5992.33467,6599.56951
WEST NEW BRITAIN,50 to 54,m,5637.13668,5370.04625,5914.22133
WEST NEW BRITAIN,50 to 54,f,4343.98963,4138.16917,4557.51165
WEST NEW BRITAIN,55 to 59,m,3809.70762,3629.20171,3996.96784
WEST NEW BRITAIN,55 to 59,f,3119.55062,2971.74471,3272.88726
WEST NEW BRITAIN,60 to 64,m,3140.06049,2991.28281,3294.40526
WEST NEW BRITAIN,60 to 64,f,2370.94051,2258.60413,2487.48039
WEST NEW BRITAIN,65 to 69,m,1949.46277,1857.09622,2045.28556
WEST NEW BRITAIN,65 to 69,f,1463.37894,1394.0433,1535.30905
WEST NEW BRITAIN,70 to 74,m,1165.98588,1110.74087,1223.2981
WEST NEW BRITAIN,70 to 74,f,856.28691,815.71559,898.37635
WEST NEW BRITAIN,75 to 79,m,676.82558,644.75724,710.09388
WEST NEW BRITAIN,75 to 79,f,490.1858,466.96054,514.28012
WEST NEW BRITAIN,80 +,m,784.50238,747.33225,823.06336
WEST NEW BRITAIN,80 +,f,598.88809,570.51246,628.3255
WEST SEPIK,< 1,m,8064.18371,7315.8183,8842.74636
WEST SEPIK,< 1,f,7328.15163,6648.09083,8035.6535
WEST SEPIK,1 to 4,m,16953.1866,15379.91162,18589.94467
WEST SEPIK,1 to 4,f,15993.25664,14509.06425,17537.33756
WEST SEPIK,5 to 9,m,29616.28409,26867.85926,32475.61036
WEST SEPIK,5 to 9,f,26883.18592,24388.39571,29478.64319
WEST SEPIK,10 to 14,m,27570.32077,25011.76366,30232.11799
WEST SEPIK,10 to 14,f,24286.48531,22032.67187,26631.24218
WEST SEPIK,15 to 19,m,26225.64677,23791.87694,28757.62143
WEST SEPIK,15 to 19,f,22594.38357,20497.59909,24775.77521
WEST SEPIK,20 to 24,m,22735.9282,20626.00822,24930.98538
WEST SEPIK,20 to 24,f,20220.29406,18343.82779,22172.47746
WEST SEPIK,25 to 29,m,20284.63253,18402.19558,22243.02753
WEST SEPIK,25 to 29,f,19700.43923,17872.21608,21602.43286
WEST SEPIK,30 to 34,m,16232.59575,14726.19241,17799.78383
WEST SEPIK,30 to 34,f,15711.45415,14253.41335,17228.32823
WEST SEPIK,35 to 39,m,13375.96772,12134.66271,14667.36052
WEST SEPIK,35 to 39,f,13427.4385,12181.35694,14723.80058
WEST SEPIK,40 to 44,m,10354.63321,9393.71148,11354.32901
WEST SEPIK,40 to 44,f,9308.48971,8444.65128,10207.1848
WEST SEPIK,45 to 49,m,8878.70873,8054.75447,9735.9103
WEST SEPIK,45 to 49,f,8263.63297,7496.75844,9061.45159
WEST SEPIK,50 to 54,m,6659.03155,6041.06585,7301.93273
WEST SEPIK,50 to 54,f,5702.9619,5173.72055,6253.55862
