Prov_Name,age,sex,total,lower,upper
CHIMBU (SIMBU),1 to 4,m,18136.97874,17192.734,19111.99683
CHIMBU (SIMBU),1 to 4,f,16723.75995,15853.09,17622.80543
CHIMBU (SIMBU),5 to 9,m,37377.1539,35431.22997,39386.49636
CHIMBU (SIMBU),5 to 9,f,33027.44633,31307.97624,34802.95472
CHIMBU (SIMBU),10 to 14,m,36409.50837,34513.96186,38366.83159
CHIMBU (SIMBU),10 to 14,f,29790.3298,28239.39,31391.81543
CHIMBU (SIMBU),15 to 19,m,35027.15761,33203.57885,36910.16763
CHIMBU (SIMBU),15 to 19,f,30304.34955,28726.64893,31933.46814
CHIMBU (SIMBU),20 to 24,m,25213.80935,23901.13168,26569.26776
CHIMBU (SIMBU),20 to 24,f,23420.77963,22201.45042,24679.84732
CHIMBU (SIMBU),25 to 29,m,21207.67633,20103.56538,22347.77075
CHIMBU (SIMBU),25 to 29,f,24054.24522,22801.93661,25347.36712
CHIMBU (SIMBU),30 to 34,m,16906.28394,16026.11145,17815.14164
CHIMBU (SIMBU),30 to 34,f,19313.99001,18308.46788,20352.28255
CHIMBU (SIMBU),35 to 39,m,16859.31085,15981.58387,17765.64335
CHIMBU (SIMBU),35 to 39,f,18900.62687,17916.62519,19916.6976
CHIMBU (SIMBU),40 to 44,m,14839.46825,14066.89802,15637.21688
CHIMBU (SIMBU),40 to 44,f,14055.68879,13323.92357,14811.30256
CHIMBU (SIMBU),45 to 49,m,13981.87394,13253.95166,14733.51954
CHIMBU (SIMBU),45 to 49,f,11838.55923,11222.22189,12474.98328
CHIMBU (SIMBU),50 to 54,m,11732.53427,11121.71678,12363.25857
CHIMBU (SIMBU),50 to 54,f,9272.48676,8789.74391,9770.96242
CHIMBU (SIMBU),55 to 59,m,6942.6218,6581.17604,7315.84724
CHIMBU (SIMBU),55 to 59,f,5413.98344,5132.12143,5705.03147
CHIMBU (SIMBU),60 to 64,m,7910.26733,7498.44414,8335.51201
CHIMBU (SIMBU),60 to 64,f,5897.13516,5590.11937,6214.15673
CHIMBU (SIMBU),65 to 69,m,4983.17316,4723.73992,5251.06144
CHIMBU (SIMBU),65 to 69,f,3490.77118,3309.03516,3678.43005
CHIMBU (SIMBU),70 to 74,m,3650.47966,3460.42892,3846.72424
CHIMBU (SIMBU),70 to 74,f,2038.63184,1932.49689,2148.22578
CHIMBU (SIMBU),75 to 79,m,1982.26414,1879.06379,2088.82783
CHIMBU (SIMBU),75 to 79,f,909.93574,862.5628,958.85259
CHIMBU (SIMBU),80 +,m,1409.19252,1335.82734,1484.9487
CHIMBU (SIMBU),80 +,f,801.2266,759.51326,844.2994
EAST NEW BRITAIN,< 1,m,9502.25461,7933.27145,11266.95782
EAST NEW BRITAIN,< 1,f,8418.85906,7028.76285,9982.36037
EAST NEW BRITAIN,1 to 4,m,20308.76587,16955.4447,24080.39121
EAST NEW BRITAIN,1 to 4,f,18441.24808,15396.28572,21866.04893
EAST NEW BRITAIN,5 to 9,m,32252.25437,26926.86099,38241.95462
EAST NEW BRITAIN,5 to 9,f,29118.37917,24310.44166,34526.07443
EAST NEW BRITAIN,10 to 14,m,28785.12722,24032.21525,34130.93287
EAST NEW BRITAIN,10 to 14,f,25287.94206,21112.47458,29984.27091
EAST NEW BRITAIN,15 to 19,m,25612.04591,21383.0634,30368.56544
EAST NEW BRITAIN,15 to 19,f,23096.32041,19282.72678,27385.6341
EAST NEW BRITAIN,20 to 24,m,22337.02871,18648.807,26485.33119
EAST NEW BRITAIN,20 to 24,f,20869.41327,17423.51972,24745.15877
EAST NEW BRITAIN,25 to 29,m,21049.76138,17574.0893,24959.00008
EAST NEW BRITAIN,25 to 29,f,21505.85915,17954.8776,25499.80166
EAST NEW BRITAIN,30 to 34,m,16543.67227,13812.03182,19616.06643
EAST NEW BRITAIN,30 to 34,f,16138.54245,13473.79579,19135.69827
EAST NEW BRITAIN,35 to 39,m,14139.03075,11804.43734,16764.84894
EAST NEW BRITAIN,35 to 39,f,14077.60785,11753.15639,16692.01893
EAST NEW BRITAIN,40 to 44,m,10695.42728,8929.43111,12681.71954
EAST NEW BRITAIN,40 to 44,f,9963.57986,8318.42409,11813.9577
EAST NEW BRITAIN,45 to 49,m,10004.09284,8352.24769,11861.99451
EAST NEW BRITAIN,45 to 49,f,9430.37674,7873.26184,11181.73121
EAST NEW BRITAIN,50 to 54,m,8405.79035,7017.85201,9966.86463
EAST NEW BRITAIN,50 to 54,f,7494.90169,6257.3665,8886.81104
EAST NEW BRITAIN,55 to 59,m,6466.39469,5398.68342,7667.29574
EAST NEW BRITAIN,55 to 59,f,5748.92285,4799.67833,6816.57921
EAST NEW BRITAIN,60 to 64,m,5350.32738,4466.89772,6343.95892
EAST NEW BRITAIN,60 to 64,f,4051.29821,3382.36027,4803.68164
EAST NEW BRITAIN,65 to 69,m,3286.77903,2744.07615,3897.18043
EAST NEW BRITAIN,65 to 69,f,2633.34384,2198.53417,3122.39307
EAST NEW BRITAIN,70 to 74,m,1713.30708,1430.41107,2031.49246
EAST NEW BRITAIN,70 to 74,f,1293.80169,1080.17312,1534.07898
EAST NEW BRITAIN,75 to 79,m,831.16957,693.9294,985.52952
EAST NEW BRITAIN,75 to 79,f,659.96955,550.9974,782.53524
EAST NEW BRITAIN,80 +,m,790.65659,660.10579,937.49271
EAST NEW BRITAIN,80 +,f,865.1482,722.29758,1025.81847
EAST SEPIK,< 1,m,11631.96562,9806.10704,14075.42834
EAST SEPIK,< 1,f,10701.1486,9021.39948,12949.07975
EAST SEPIK,1 to 4,m,24498.88729,20653.32025,29645.23314
EAST SEPIK,1 to 4,f,22828.8284,19245.40891,27624.3542
EAST SEPIK,5 to 9,m,44396.72444,37427.81283,53722.89897
EAST SEPIK,5 to 9,f,40823.9024,34415.81326,49399.55395
EAST SEPIK,10 to 14,m,44402.13617,37432.37508,53729.44751
EAST SEPIK,10 to 14,f,39095.39686,32958.62959,47307.9508
EAST SEPIK,15 to 19,m,43228.8738,36443.27859,52309.72439
EAST SEPIK,15 to 19,f,39193.89028,33041.6626,47427.13419
EAST SEPIK,20 to 24,m,37622.32482,31716.78427,45525.43866
EAST SEPIK,20 to 24,f,36161.15858,30484.9759,43757.3333
EAST SEPIK,25 to 29,m,32133.75148,27089.74707,38883.91105
EAST SEPIK,25 to 29,f,32992.05135,27813.32043,39922.50924
EAST SEPIK,30 to 34,m,24152.53677,20361.33605,29226.12669
EAST SEPIK,30 to 34,f,24560.58098,20705.32994,29719.88648
EAST SEPIK,35 to 39,m,20773.45455,17512.66515,25137.21934
EAST SEPIK,35 to 39,f,21462.90855,18093.8962,25971.50312
EAST SEPIK,40 to 44,m,15515.42078,13079.97993,18774.65947
EAST SEPIK,40 to 44,f,15672.36086,13212.28528,18964.56708
EAST SEPIK,45 to 49,m,14838.95493,12509.69828,17956.09217
EAST SEPIK,45 to 49,f,14675.52078,12371.91824,17758.32632
EAST SEPIK,50 to 54,m,10889.4767,9180.1659,13176.96888
EAST SEPIK,50 to 54,f,10517.14989,8866.28288,12726.42944
EAST SEPIK,55 to 59,m,7711.71071,6501.21081,9331.66716
EAST SEPIK,55 to 59,f,7565.59409,6378.02998,9154.85662
EAST SEPIK,60 to 64,m,6768.9879,5706.46631,8190.91178
EAST SEPIK,60 to 64,f,6597.97733,5562.29911,7983.97796
EAST SEPIK,65 to 69,m,4454.93351,3755.64684,5390.75678
EAST SEPIK,65 to 69,f,4297.99344,3623.34149,5200.84916
EAST SEPIK,70 to 74,m,2776.21586,2340.43589,3359.40018
EAST SEPIK,70 to 74,f,2520.78235,2125.09754,3050.30917
EAST SEPIK,75 to 79,m,1480.6484599999999,1248.23248,1791.68009
EAST SEPIK,75 to 79,f,1418.95477,1196.22279,1717.02676
EAST SEPIK,80 +,m,1644.08261,1386.01252,1989.44595
EAST SEPIK,80 +,f,1510.95413,1273.78109,1828.35191
EASTERN HIGHLANDS,< 1,m,10366.2347,9562.32497,11235.25849
EASTERN HIGHLANDS,< 1,f,9245.12155,8528.15503,10020.16
EASTERN HIGHLANDS,1 to 4,m,27823.10393,25665.40013,30155.57466
EASTERN HIGHLANDS,1 to 4,f,25467.14149,23492.14446,27602.10682
EASTERN HIGHLANDS,5 to 9,m,51327.48499,47346.99779,55630.37862
EASTERN HIGHLANDS,5 to 9,f,45819.40731,42266.0759,49660.54692
EASTERN HIGHLANDS,10 to 14,m,47499.45224,43815.83202,51481.43364
EASTERN HIGHLANDS,10 to 14,f,39177.21805,36138.99369,42461.52862
EASTERN HIGHLANDS,15 to 19,m,49280.23488,45458.51355,53411.50312
EASTERN HIGHLANDS,15 to 19,f,43697.41632,40308.64699,47360.66485
EASTERN HIGHLANDS,20 to 24,m,40304.83041,37179.15882,43683.67116
EASTERN HIGHLANDS,20 to 24,f,37867.6279,34930.96329,41042.15271
EASTERN HIGHLANDS,25 to 29,m,36545.03933,33710.94252,39608.6887
EASTERN HIGHLANDS,25 to 29,f,38933.4978,35914.17414,42197.37678
EASTERN HIGHLANDS,30 to 34,m,27897.8448,25734.34479,30236.58122
EASTERN HIGHLANDS,30 to 34,f,30802.9902,28414.19386,33385.27122
EASTERN HIGHLANDS,35 to 39,m,27839.35194,25680.3881,30173.18478
EASTERN HIGHLANDS,35 to 39,f,29061.2028,26807.48346,31497.46603
EASTERN HIGHLANDS,40 to 44,m,23481.63384,21660.6145,25450.14979
EASTERN HIGHLANDS,40 to 44,f,21671.60478,19990.95462,23488.38208
EASTERN HIGHLANDS,45 to 49,m,20683.72536,19079.68604,22417.6866
